课程编号,学院,课程名称,班级,学分,学时,主讲教师,教室1,星期几1,节次1,周次1,教室2,星期几2,节次2,周次2,教室3,星期几3,节次3,周次3,教室4,星期几4,节次4,周次4,教室5,星期几5,节次5,周次5,教室6,星期几6,节次6,周次6,教室7,星期几7,节次7,周次7,教室8,星期几8,节次8,周次8,教室9,星期几9,节次9,周次9,教室10,星期几10,节次10,周次10,教室11,星期几11,节次11,周次11,教室12,星期几12,节次12,周次12,教室13,星期几13,节次13,周次13
323003,新闻与新媒体学院,危机传播与管理,1班,2.0,32,李巨星,创新港校区-1-4059,2,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323006,新闻与新媒体学院,新闻传播学理论前沿,1班,2.0,32,吴锋,兴庆校区-中3-1300,2,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323010,新闻与新媒体学院,智能传播专题研究,1班,2.0,32,吴锋,兴庆校区-中3-1300,1,10,1-8,兴庆校区-中3-1300,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323018,新闻与新媒体学院,研究生论文写作指导（新闻-硕）,1班,1.0,16,刘婵君,创新港校区-1-4059,2,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323025,新闻与新媒体学院,区域国别研究与跨文化传播,1班,2.0,32,王威力,创新港校区-1-4057,5,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323029,新闻与新媒体学院,智能时代的品牌国际传播（校企）,1班,2.0,32,汪文斌,创新港校区-1-4052,5,1-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323031,新闻与新媒体学院,空间媒介与智能计算（实践）（AI进阶）,1班,2.0,32,汪文斌,创新港校区-1-4059,2,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323034,新闻与新媒体学院,新大众文艺概论,1班,2.0,32,阚平,创新港校区-1-4061,5,5-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323039,新闻与新媒体学院,媒介变革与社会发展,1班,2.0,32,张窈,创新港校区-1-4057,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333003,物理学院,磁学与磁性材料,1班,2.0,32,杨森,创新港校区-4-5208,4,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333004,物理学院,广义相对论导论,1班,2.0,40,付春娥,创新港校区-4-3216,4,3-6,7-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333005,物理学院,纳米材料物理,1班,2.0,32,杨生春,创新港校区-4-3206,1,5-6,9-16,创新港校区-4-3206,1,9-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333006,物理学院,研究生论文写作指导（物理）,1班,1.0,20,赵永涛,创新港校区-5-1W103,1,3-4,1-5,创新港校区-5-1E103,1,7-8,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333007,物理学院,固体理论,1班,2.0,40,夏明岗,创新港校区-4-6216,2,5-6,1-10,创新港校区-4-6216,2,9-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333009,物理学院,材料计算与模拟,1班,2.0,32,杨涛,创新港校区-4-5202,4,3-4,9-16,创新港校区-4-5202,4,7-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333021,物理学院,软物质物理学,1班,2.0,32,吴宥伸,创新港校区-4-5202,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333022,物理学院,Advanced Solid State Physics,1班,2.0,32,张朋,创新港校区-4-4202,2,7-8,1-8,创新港校区-4-4202,4,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333023,物理学院,Principles & Practices of Materials Manufacturing,1班,2.0,32,王亚平,创新港校区-4-5208,5,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343002,化学学院,储能原理与应用前沿（校企）,1班,2.0,48,丁书江,创新港校区-1-4061,5,3-4,1-8,创新港校区-1-5057,5,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343002,化学学院,储能原理与应用前沿（校企）,2班,2.0,48,丁书江,创新港校区-19-4110,2,3-6,1-2,创新港校区-19-2094,2,3-4,3-4,创新港校区-19-3110,2,3-6,5-8,创新港校区-19-4110,2,5-6,3-3,创新港校区-19-3110,2,5-6,4-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343003,化学学院,生物显微成像技术及应用,1班,1.0,16,孟令杰,创新港校区-19-4112,1,3-6,1-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343004,化学学院,扫描电镜成像技术及应用,1班,1.0,20,孟令杰,创新港校区-19-4112,5,3-6,1-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343010,化学学院,Advanced Separation Materials,1班,1.0,16,高瑞霞,创新港校区-19-4112,2,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343012,化学学院,Interface Chemistry,1班,2.0,32,魏巍,创新港校区-19-4110,1,7-8,9-18,创新港校区-19-4110,3,7-8,9-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343018,化学学院,有机光学诊疗分子与材料,1班,2.0,32,党东锋,创新港校区-19-3109,3,5-6,1-8,创新港校区-19-3109,3,9-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361001,人工智能学院,人工智能安全与伦理（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361002,人工智能学院,人工智能（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361004,人工智能学院,人工智能导论（SUSTech）（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361005,人工智能学院,人工智能与创新（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361006,人工智能学院,人工智能原理（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361007,人工智能学院,数据与智能技术应用（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361008,人工智能学院,智慧医疗创新体验（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361009,人工智能学院,智能证券投资（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361010,人工智能学院,动手学AI：人工智能通识与实践（人文艺术版）（AI通识-线上）,1班,1.0,20,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361011,人工智能学院,动手学AI：人工智能通识与实践（社科版）（AI通识-线上）,1班,1.0,20,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361012,人工智能学院,动手学AI：人工智能通识与实践（理工版）（AI通识-线上）,1班,1.0,20,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361013,人工智能学院,金融法：金融科技与人工智能法（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363001,人工智能学院,人工智能基础与应用II（理工）（AI通识）,1班,2.0,32,张雪涛,创新港校区-5-4106,2,5-6,1-8,创新港校区-5-4106,4,5-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363001,人工智能学院,人工智能基础与应用II（理工）（AI通识）,2班,2.0,32,周三平,创新港校区-5-1005,2,7-8,1-8,创新港校区-5-1005,4,7-8,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363001,人工智能学院,人工智能基础与应用II（理工）（AI通识）,3班,2.0,32,周延,创新港校区-3-6001,2,3-4,1-8,创新港校区-3-6001,4,3-4,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363002,人工智能学院,人工智能导论（FUDAN）（AI通识-线上）,1班,1.0,16,吴琳,,5,3-4,18-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373002,仪器科学与技术学院,LabVIEW虚拟仪器设计及应用,1班,2.0,32,曾翔君,,5,1-4,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373005,仪器科学与技术学院,动力系统建模与有限元分析,1班,2.0,32,韦学勇,创新港校区-2-4005,4,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373009,仪器科学与技术学院,控制系统设计,1班,2.0,40,汤晓君,创新港校区-2-3005,4,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373011,仪器科学与技术学院,嵌入式系统及其电路的开发设计,1班,2.0,40,刘弹,创新港校区-2-3001,4,3-6,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373012,仪器科学与技术学院,柔性电子传感技术,1班,2.0,32,王琛英,创新港校区-2-3002,6,3-6,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373019,仪器科学与技术学院,微型机械电子系统,1班,2.0,40,韩枫,创新港校区-2-3001,5,7-10,1-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373021,仪器科学与技术学院,误差理论与数据处理,1班,2.0,40,赵立波,创新港校区-2-5003,2,5-7,1-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373022,仪器科学与技术学院,现代测控系统集成设计,1班,2.0,32,鹿又水,创新港校区-2-5006,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373023,仪器科学与技术学院,现代光学测试技术,1班,2.0,40,赵宏,创新港校区-2-6001,6,5-7,1-12,创新港校区-2-6001,6,5-6,13-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373026,仪器科学与技术学院,Theory and Application of Microfluidics,1班,2.0,32,韦学勇,创新港校区-2-3003,5,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373029,仪器科学与技术学院,振动分析与控制,1班,2.0,32,韦学勇,创新港校区-2-4005,3,7-10,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373030,仪器科学与技术学院,智能传感器系统（AI进阶）,1班,2.0,40,汤晓君,创新港校区-5-1W105,2,1-4,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373031,仪器科学与技术学院,智能仪器设计（AI进阶）,1班,3.0,48,曾翔君,创新港校区-5-4106,1,3-4,1-8,创新港校区-5-4106,3,3-4,1-8,创新港校区-5-4106,5,1-4,5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373033,仪器科学与技术学院,光学传感与器件,1班,2.0,32,赵娜,创新港校区-2-4001,6,3-6,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983002,未来技术学院,新医科伦理学,1班,1.5,24,郭卉,创新港校区-20-3099,4,3-4,1-1,创新港校区-20-3099,4,3-4,3-7,创新港校区-20-3099,4,3-4,9-12,创新港校区-20-3099,5,3-6,5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983006,未来技术学院,小卫星结构设计与制作实践,1班,2.0,32,王晨希,创新港校区-20-4103,2,5-8,9-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983008,未来技术学院,复合材料结构（智能AI）设计与分析（AI进阶）,1班,3.0,64,周晋,创新港校区-2-4006,2,7-10,1-8,创新港校区-2-4006,4,7-10,1-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,1班,,32,杨蕾,兴庆校区-中3-2357,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,2班,,32,杨蕾,兴庆校区-中3-2357,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,3班,,32,田荣昌,雁塔校区-综合楼-304,6,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,4班,,32,田荣昌,雁塔校区-综合楼-304,6,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,5班,,32,李莹,雁塔校区-综合楼-303,6,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,6班,,32,李莹,雁塔校区-综合楼-303,6,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,7班,,32,李小棉,雁塔校区-综合楼-306,6,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,8班,,32,李小棉,雁塔校区-综合楼-306,6,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,9班,,32,杨蕾,创新港校区-5-2006,1,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,10班,,32,杨蕾,创新港校区-5-2006,1,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,11班,,32,杨蕾,创新港校区-5-2006,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,12班,,32,杨蕾,创新港校区-5-2006,1,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,13班,,32,田荣昌,创新港校区-5-2010,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,14班,,32,田荣昌,创新港校区-5-2010,1,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,15班,,32,张妍华,创新港校区-5-2012,2,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,16班,,32,张妍华,创新港校区-5-2012,2,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,17班,,32,张妍华,创新港校区-5-2012,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,18班,,32,张妍华,创新港校区-5-2012,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,19班,,32,范文娟,创新港校区-5-2014,1,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,20班,,32,范文娟,创新港校区-5-2014,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,21班,,32,范文娟,创新港校区-5-2014,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,22班,,32,范文娟,创新港校区-5-2014,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,23班,,32,申辰瑜,创新港校区-5-2006,2,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,24班,,32,申辰瑜,创新港校区-5-2006,2,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,25班,,32,申辰瑜,创新港校区-5-2006,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,26班,,32,申辰瑜,创新港校区-5-2006,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,27班,,32,方菁,创新港校区-5-2010,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,28班,,32,方菁,创新港校区-5-2010,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,29班,,32,严禛,创新港校区-5-2066,1,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,30班,,32,严禛,创新港校区-5-2066,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,31班,,32,严禛,创新港校区-5-2066,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,32班,,32,严禛,创新港校区-5-2066,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,33班,,32,严禛,创新港校区-5-2066,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121066,,课内授课-学术英语（一）,34班,,32,王伊蕾,创新港校区-5-2008,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,1班,,32,王芙蓉,兴庆校区-中2-1203,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,2班,,32,王芙蓉,兴庆校区-中2-1203,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,3班,,32,王芙蓉,兴庆校区-中2-1203,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,4班,,32,王芙蓉,兴庆校区-中2-1203,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,5班,,32,陈琦,雁塔校区-综合楼-303,4,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,6班,,32,陈琦,雁塔校区-综合楼-303,4,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,7班,,32,陈琦,创新港校区-5-2068,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,8班,,32,陈琦,创新港校区-5-2068,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,9班,,32,陈琦,创新港校区-5-2068,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,10班,,32,王华,创新港校区-5-2058,2,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,11班,,32,郑四方,创新港校区-5-2027,1,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,12班,,32,郑四方,创新港校区-5-2027,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,13班,,32,郑四方,创新港校区-5-2027,1,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,14班,,32,郑四方,创新港校区-5-2027,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,15班,,32,郑四方,创新港校区-5-2027,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,16班,,32,郑四方,创新港校区-5-2027,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,17班,,32,许小艳,创新港校区-5-2064,1,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,18班,,32,许小艳,创新港校区-5-2064,1,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,19班,,32,许小艳,创新港校区-5-2064,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,20班,,32,许小艳,创新港校区-5-2064,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,21班,,32,闫开伦,创新港校区-5-2060,2,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,22班,,32,闫开伦,创新港校区-5-2060,2,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,23班,,32,闫开伦,创新港校区-5-2060,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,24班,,32,闫开伦,创新港校区-5-2060,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,25班,,32,闫开伦,创新港校区-5-2060,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,26班,,32,史文霞,创新港校区-5-2016,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,27班,,32,史文霞,创新港校区-5-2016,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,28班,,32,史文霞,创新港校区-5-2016,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,29班,,32,史文霞,创新港校区-5-2016,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,30班,,32,袁芳,创新港校区-5-2012,4,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,31班,,32,袁芳,创新港校区-5-2012,4,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,32班,,32,袁芳,创新港校区-5-2012,4,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,33班,,32,魏行,创新港校区-5-2058,3,1-2,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,34班,,32,魏行,创新港校区-5-2058,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,35班,,32,魏行,创新港校区-5-2058,3,5-6,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,36班,,32,魏行,创新港校区-5-2058,3,7-8,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KN00121067,,课内授课-学术英语（二）,37班,,32,王宏俐,创新港校区-5-2062,3,3-4,1-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
